 ,gas,electricity,heat_demand
511,0.87797,1.48411,1.37034348
512,0.87797,1.56852,1.85476724
513,0.87797,1.52004,1.82308442
514,0.87797,1.48785,1.8372755
515,0.87797,1.43268,1.84315705
516,0.87797,1.32596,1.75967079
517,0.87797,1.27761,1.68609751
518,0.87797,1.29417,1.66044223
519,0.87797,1.3663,1.71027459
520,0.87797,1.43469,1.76804938
521,0.87797,1.54942,1.76804938
522,0.87797,1.48704,1.84851323
523,0.87797,1.35788,1.34400634
524,0.87797,1.27614,1.34400634
525,0.87797,1.2366,1.33540498
526,0.87797,1.25276,1.26630079
527,0.87797,1.21443,1.25182457
528,0.89556,1.20748,1.25906268
529,0.89556,1.2171,1.25906268
530,0.89556,1.20628,1.25906268
531,0.89556,1.18063,1.26630079
532,0.89556,1.17836,1.28801511
533,0.89556,1.23219,1.30249132
534,0.89556,1.3512,1.34591997
535,0.89556,1.59951,1.47365013
536,0.89556,1.72774,1.97010088
537,0.89556,1.74778,1.99505944
538,0.89556,1.7248,1.90452183
539,0.89556,1.67324,1.93419667
540,0.89556,1.6317,1.91131406
541,0.89556,1.61875,1.912553
542,0.89556,1.64012,1.99958501
543,0.89556,1.65721,2.1125264
544,0.89556,1.6317,2.28977355
545,0.89556,1.69916,2.34173509
546,0.89556,1.74924,2.44572839
547,0.89556,1.70623,1.89449356
548,0.89556,1.54528,1.92889901
549,0.89556,1.41759,1.98050719
550,0.89556,1.36643,1.80915885
551,0.89556,1.28495,1.83811128
552,0.89957,1.32342,1.86706371
553,0.89957,1.28602,1.88877803
554,0.89957,1.27026,1.92496857
555,0.89957,1.24982,1.953921
556,0.89957,1.25757,1.93944478
557,0.89957,1.31875,1.99011153
558,0.89957,1.51176,1.98287343
559,0.89957,1.82017,2.22262338
560,0.89957,2.00717,2.71525432
561,0.89957,1.98259,2.35119107
562,0.89957,1.94279,2.20237356
563,0.89957,1.88188,2.07974329
564,0.89957,1.81029,2.04858067
565,0.89957,1.73415,1.89943614
566,0.89957,1.69715,1.96885831
567,0.89957,1.70503,2.04258006
568,0.89957,1.76594,2.22741971
569,0.89957,1.92369,2.24820432
570,0.89957,2.11924,2.26761118
571,0.89957,1.86011,1.69666221
572,0.89957,1.69021,1.70526358
573,0.89957,1.49105,1.70526358
574,0.89957,1.43081,1.58477752
575,0.89957,1.34893,1.61372994
576,0.83501,1.36015,1.62820616
577,0.83501,1.30686,1.64268237
578,0.83501,1.26892,1.6716348
579,0.83501,1.2374,1.6643967
580,0.83501,1.23526,1.64992048
581,0.83501,1.28469,1.70058723
582,0.83501,1.44657,1.73677777
583,0.83501,1.62529,1.86105009
584,0.83501,1.79252,2.24491642
585,0.83501,1.74764,2.11932712
586,0.83501,1.63224,2.02488548
587,0.83501,1.53874,1.87057521
588,0.83501,1.45606,1.93941985
589,0.83501,1.43014,1.87537059
590,0.83501,1.41371,1.77663332
591,0.83501,1.37284,1.83215565
592,0.83501,1.36616,2.09231971
593,0.83501,1.4435,2.18585048
594,0.83501,1.45512,2.25771578
595,0.83501,1.27841,1.69666221
596,0.83501,1.17516,1.70526358
597,0.83501,1.1797,1.73966903
598,0.83501,1.1268,1.5703013
599,0.83501,1.0699,1.59925373
600,0.83501,1.08847,1.59201562
601,0.83501,1.06603,1.58477752
602,0.83501,1.06469,1.59925373
603,0.83501,1.05735,1.59925373
604,0.83501,1.05321,1.59201562
605,0.83501,1.04078,1.59201562
606,0.83501,1.0516,1.64268237
607,0.83501,1.06269,1.60178472
608,0.83501,1.18304,1.46768451
609,0.83501,1.24862,1.4099347
610,0.83501,1.27988,1.18843811
611,0.83501,1.28736,1.13704052
612,0.83501,1.2545,1.08295283
613,0.83501,1.26412,1.04819998
614,0.83501,1.20908,1.10458911
615,0.83501,1.20214,1.19837769
616,0.83501,1.19733,1.27826562
617,0.83501,1.24421,1.28550373
618,0.83501,1.27053,1.29464358
619,0.83501,1.21523,1.35568906
620,0.83501,1.13776,1.36292717
621,0.83501,1.09782,1.36292717
622,0.83501,1.08326,1.39658672
623,0.83501,1.00111,1.40382483
624,0.81083,0.87649,1.39658672
625,0.81083,0.82387,1.40382483
626,0.81083,0.76376,1.41830104
627,0.81083,0.73905,1.42553915
628,0.81083,0.67867,1.44001537
629,0.81083,0.70178,1.44725347
630,0.81083,0.54564,1.46172969
631,0.81083,0.82373,1.42083203
632,0.81083,0.85806,1.32105515
633,0.81083,0.93727,1.25607115
634,0.81083,1.01861,1.19537408
635,0.81083,1.08526,1.08993262
636,0.81083,1.1228,1.10792995
637,0.81083,1.07084,1.07884275
638,0.81083,1.04693,1.06794828
639,0.81083,1.03785,1.12734949
640,0.81083,1.04693,1.22036076
641,0.81083,1.12801,1.29274184
642,0.81083,1.2,1.33083412
643,0.81083,1.20428,1.44254635
644,0.81083,1.17062,1.47149878
645,0.81083,1.13455,1.44978446
646,0.81083,1.17569,1.54134887
647,0.81083,1.09542,1.56306319
648,0.7785,1.06322,1.58477752
649,0.7785,1.04412,1.59201562
650,0.7785,1.03678,1.59925373
651,0.7785,1.00178,1.61372994
652,0.7785,1.00566,1.6643967
653,0.7785,1.05561,1.64268237
654,0.7785,1.20601,1.58477752
655,0.7785,1.35227,1.69748122
656,0.7785,1.36349,2.13499241
657,0.7785,1.32769,1.94514014
658,0.7785,1.27667,1.89065942
659,0.7785,1.24381,1.87057013
660,0.7785,1.23313,1.79704121
661,0.7785,1.1829,1.78151536
662,0.7785,1.14644,1.86108697
663,0.7785,1.12921,1.86358757
664,0.7785,1.14911,1.87405149
665,0.7785,1.3094,1.83525123
666,0.7785,1.2935,1.8758233
667,0.7785,1.22311,1.34400634
668,0.7785,1.13188,1.36120907
669,0.7785,1.10717,1.33540498
670,0.7785,1.11612,1.23101004
671,0.7785,1.08339,1.19804411
672,0.74482,1.09622,1.18485774
673,0.74482,1.13896,1.17826455
674,0.74482,1.13121,1.17826455
675,0.74482,1.09248,1.158485
676,0.74482,1.11091,1.16507818
677,0.74482,1.11745,1.17167137
678,0.74482,1.24248,1.15189181
679,0.74482,1.40076,1.19087664
680,0.74482,1.46928,1.59950222
681,0.74482,1.4403,1.52500082
682,0.74482,1.43696,1.46274132
683,0.74482,1.39862,1.34814236
684,0.74482,1.35214,1.36885093
685,0.74482,1.3496,1.34879064
686,0.74482,1.38593,1.31762072
687,0.74482,1.37845,1.26578405
688,0.74482,1.42293,1.27936695
689,0.74482,1.45125,1.2435292
690,0.74482,1.46955,1.36568199
691,0.74482,1.42934,0.93016784
692,0.74482,1.29176,0.93016784
693,0.74482,1.24141,0.9373553
694,0.74482,1.2159,0.93053903
695,0.74482,1.15592,0.9072422
696,0.76076,1.11826,0.88394538
697,0.76076,1.11612,0.901418
698,0.76076,1.09929,0.91889062
699,0.76076,1.06924,0.95966005
700,0.76076,1.06777,0.97713267
701,0.76076,1.11585,1.02711705
702,0.76076,1.19265,1.01412638
703,0.76076,1.36496,1.04811886
704,0.76076,1.40744,1.43209676
705,0.76076,1.3886,1.37987466
706,0.76076,1.28575,1.31978873
707,0.76076,1.20521,1.28495194
708,0.76076,1.2207,1.31660776
709,0.76076,1.16073,1.37955755
710,0.76076,1.21229,1.41497776
711,0.76076,1.15632,1.41247204
712,0.76076,1.20013,1.35206477
713,0.76076,1.30485,1.34279637
714,0.76076,1.3321,1.33059602
715,0.76076,1.28869,0.8654807
716,0.76076,1.16501,0.87985562
717,0.76076,1.17823,0.87985562
718,0.76076,1.16581,0.88394538
719,0.76076,1.1228,0.88394538
720,0.80315,1.12694,0.91306641
721,0.80315,1.10423,0.88394538
722,0.80315,1.1037,0.88394538
723,0.80315,1.12226,0.88394538
724,0.80315,1.09902,0.88394538
725,0.80315,1.14737,0.88976959
726,0.80315,1.3305,0.92471482
727,0.80315,1.45459,0.97344939
728,0.80315,1.54528,1.2865168
729,0.80315,1.41959,1.23246016
730,0.80315,1.39648,1.2136123
731,0.80315,1.40436,1.20604761
732,0.80315,1.38927,1.24887397
733,0.80315,1.38139,1.21949614
734,0.80315,1.38059,1.2569045
735,0.80315,1.38059,1.26284586
736,0.80315,1.36977,1.27936695
737,0.80315,1.38753,1.27040751
738,0.80315,1.39154,1.34813901
739,0.80315,1.37044,0.91579292
740,0.80315,1.29697,0.93016784
741,0.80315,1.20267,0.9373553
742,0.80315,1.1829,1.07277359
743,0.80315,1.12093,1.28801511
744,0.77236,1.07859,1.57753941
745,0.77236,1.10423,1.81639695
746,0.77236,1.07257,2.01182586
747,0.77236,1.04586,2.04077829
748,0.77236,1.05134,2.04801639
749,0.77236,1.1081,2.08420693
750,0.77236,1.13428,2.11315936
751,0.77236,1.2187,2.36036559
752,0.77236,1.2537,2.94936129
753,0.77236,1.24395,2.64292399
754,0.77236,1.23834,2.4588709
755,0.77236,1.2569,2.24352633
756,0.77236,1.27841,2.09308007
757,0.77236,1.35174,2.05746674
758,0.77236,1.36416,1.98215233
759,0.77236,1.35908,2.18870955
760,0.77236,1.35054,2.37291201
761,0.77236,1.40129,2.44565816
762,0.77236,1.43161,2.51525329
763,0.77236,1.39635,1.9547031
764,0.77236,1.33825,1.99770991
765,0.77236,1.2358,1.96330446
766,0.77236,1.2183,1.81639695
767,0.77236,1.17703,1.88877803
768,0.77236,1.16527,1.91773046
769,0.77236,1.1256,1.93220667
770,0.77236,1.1073,1.93944478
771,0.77236,1.07311,1.96839721
772,0.77236,1.06737,1.99011153
773,0.77236,1.0659,2.01182586
